Date,channel_id,daily_avg,daily_min,daily_max
2020-01-01,169,6.212749,5.001361,7.234131
2020-01-02,169,5.4307537,3.7019253,7.06538
2020-01-03,169,5.14774,3.636981,6.923909
2020-01-04,169,5.324878,3.9742947,7.3326187
2020-01-05,169,5.2709107,3.6363816,7.2239127
2020-01-06,169,5.328833,3.4594502,7.4034624
2020-01-07,169,5.6021566,3.6396036,7.740141
2020-01-08,169,5.952092,3.7893653,8.152612
2020-01-09,169,6.253892,3.7587178,8.560419
2020-01-10,169,6.0906906,3.788965,8.3168335
2020-01-11,169,6.100494,3.6761632,8.33411
2020-01-12,169,6.019076,3.770109,8.21489
2020-01-13,169,5.9548807,3.6865523,8.008907
2020-01-14,169,5.8933268,3.769926,7.6197653
2020-01-15,169,5.6389008,3.5989666,7.1723394
2020-01-16,169,5.912838,3.661367,7.5744023
2020-01-17,169,5.5879345,4.0262084,7.499531
2020-01-18,169,5.2473507,3.7252016,7.380313
2020-01-19,169,5.433032,3.6856303,7.6132493
2020-01-20,169,5.8555174,3.9308214,8.072729
2020-01-21,169,6.2019143,4.0777493,8.387049
2020-01-22,169,6.1823597,3.909122,8.273605
2020-01-23,169,6.012166,3.8593102,8.097723
2020-01-24,169,6.065923,3.769075,8.164422
2020-01-25,169,6.1116395,3.9014726,8.151902
2020-01-26,169,6.1105995,3.9527678,8.047541
2020-01-27,169,5.8854775,3.9330282,7.6088934
2020-01-28,169,5.6950784,3.7068133,7.322349
2020-01-29,169,5.618077,3.7122023,7.004395
2020-01-30,169,5.4629874,3.7466388,6.9646955
2020-01-31,169,5.281412,3.647159,6.938308
2020-02-01,169,5.2112694,3.8587127,6.9509954
2020-02-02,169,5.6049705,4.226184,7.501414
2020-02-03,169,5.5742626,3.6920094,7.511526
2020-02-04,169,5.5469136,3.481012,7.4973516
2020-02-05,169,5.840803,3.7134118,7.9674735
2020-02-06,169,6.0343475,3.8065479,8.163538
2020-02-07,169,6.2044406,3.8881602,8.403593
2020-02-08,169,6.269796,3.9571123,8.483969
2020-02-09,169,6.0333385,4.032526,8.031185
2020-02-10,169,5.837641,3.6452107,8.007124
2020-02-11,169,5.8676624,3.8560786,7.7787185
2020-02-12,169,5.8267317,3.93018,7.451485
2020-02-13,169,5.8004017,4.002066,7.509995
2020-02-14,169,5.8546295,4.3418965,7.7238216
2020-02-15,169,5.6325917,4.0363994,7.6953325
2020-02-16,169,5.6660185,3.9209738,7.8498173
2020-02-17,169,5.742893,3.741528,7.8412795
2020-02-18,169,5.846477,3.7058024,7.836667
2020-02-19,169,5.907941,3.7775474,7.8821383
2020-02-20,169,5.947004,3.7749205,7.896516
2020-02-21,169,5.947336,3.8184533,7.9050245
2020-02-22,169,6.109251,3.861013,8.087714
2020-02-23,169,5.9785686,4.1531096,7.6972446
2020-02-24,169,5.516302,3.816812,7.1696024
2020-02-25,169,5.3772764,3.653039,6.935812
2020-02-26,169,5.320149,3.6051445,6.732272
2020-02-27,169,5.3346763,3.7233605,6.782904
2020-02-28,169,5.4446735,3.9108214,6.9745145
2020-02-29,169,5.680469,4.3032694,7.287277
2020-03-01,169,5.590107,4.0165234,7.3393025
2020-03-02,169,5.3825903,3.6382945,7.1244106
2020-03-03,169,5.710787,3.6913614,7.506197
2020-03-04,169,5.8888073,3.698597,7.7391486
2020-03-05,169,6.1573663,3.9733047,8.116461
2020-03-06,169,6.2802296,4.1113825,8.282517
2020-03-07,169,6.3056474,4.06485,8.274593
2020-03-08,169,6.0757976,4.091941,8.033266
2020-03-09,169,5.9165077,4.0066853,7.756641
2020-03-10,169,5.8036942,3.8863025,7.5894403
2020-03-11,169,5.8416314,3.9944897,7.418875
2020-03-12,169,5.919512,4.1210594,7.6146393
2020-03-13,169,6.256066,4.4592667,8.128754
2020-03-14,169,6.2228546,4.3343477,8.309247
2020-03-15,169,6.1605935,4.2426186,8.294649
2020-03-16,169,6.0086927,3.8979607,8.007593
2020-03-17,169,5.998022,3.8018773,7.821464
2020-03-18,169,6.0835133,3.9378784,7.8626466
2020-03-19,169,6.005135,3.8614688,7.7342997
2020-03-20,169,5.792582,3.66694,7.4420195
2020-03-21,169,5.7318907,3.777792,7.4355793
2020-03-22,169,5.6712065,3.919311,7.290037
2020-03-23,169,5.8234887,3.923545,7.424018
2020-03-24,169,5.741393,4.124504,7.197884
2020-03-25,169,5.640334,4.0151987,7.1422677
2020-03-26,169,5.6128635,3.9454947,7.245628
2020-03-27,169,5.5255213,3.7989833,7.233561
2020-03-28,169,5.395758,3.5858781,7.2197475
2020-03-29,169,5.4208465,3.5466444,7.2761097
2020-03-30,169,5.4406147,3.472581,7.343384
2020-03-31,169,5.4701552,3.4141295,7.265918
2020-04-01,169,5.704123,3.4491363,7.4801264
2020-04-02,169,5.4684224,3.2133574,7.1363697
2020-04-03,169,5.410001,3.2770023,7.1270905
2020-04-04,169,5.64891,3.7097023,7.4767885
2020-04-05,169,6.020435,4.1674385,7.9452085
2020-04-06,169,6.0557666,4.066467,7.713738
2020-04-07,169,5.8457046,4.1276684,7.4555273
2020-04-08,169,5.984091,4.1167912,7.6718884
2020-04-09,169,6.067496,4.1424775,8.097969
2020-04-10,169,6.019736,4.0257072,8.055105
2020-04-11,169,6.180312,4.103275,8.295658
2020-04-12,169,6.1935034,4.0032406,8.329903
2020-04-13,169,6.0836225,3.8727608,8.157328
2020-04-14,169,5.7997646,3.5480945,7.6274595
2020-04-15,169,5.7527165,3.5813527,7.321352
2020-04-16,169,5.865782,3.8223019,7.289581
2020-04-17,169,5.9942803,4.0847664,7.4304714
2020-04-18,169,5.8849754,3.963862,7.3849316
2020-04-19,169,5.7191997,4.014625,7.218889
2020-04-20,169,5.758806,4.1903152,7.296429
